up series,time,behavior,bout length,egg series,bean no.,eggs on bean,bean visit no.,notes,patch value,bean quality,average encountered bean quality within every ovp bout(EBQ)
1,29.60 ,up,3.23 ,1,21,0,1,,1,1,
2,73.77 ,up,74.43 ,1,31,0,1,ovp,1,1,1
3,300.23 ,up,1.97 ,2,22,0,1,,0.98,1,
4,306.33 ,up,2.90 ,2,23,0,1,,0.98,1,
5,309.33 ,up,2.57 ,2,24,0,1,,0.98,1,
6,316.90 ,up,4.50 ,2,35,0,1,,0.98,1,
7,396.70 ,up,9.13 ,2,13,0,1,,0.98,1,
8,420.57 ,up,4.56 ,2,22,0,2,,0.98,1,
9,428.90 ,up,4.90 ,2,31,1,2,,0.98,0.5,
10,471.07 ,up,1.53 ,2,31,1,3,,0.98,0.5,
11,483.93 ,up,63.60 ,2,41,0,1,ovp,0.98,1,0.888888889
12,704.93 ,up,24.74 ,3,42,0,1,ovp,0.96,1,1
13,814.07 ,up,4.50 ,4,32,0,1,,0.94,1,
14,818.90 ,up,6.23 ,4,42,1,2,,0.94,0.5,
15,828.63 ,up,14.17 ,4,52,0,1,,0.94,1,
16,851.37 ,up,2.70 ,4,51,0,1,,0.94,1,
17,859.23 ,up,14.87 ,4,52,0,2,ovp,0.94,1,0.9
18,1025.40 ,up,1.87 ,5,44,0,1,,0.92,1,
19,1032.67 ,up,4.00 ,5,55,0,1,,0.92,1,
20,1074.93 ,up,3.04 ,5,15,0,1,,0.92,1,
21,1084.03 ,up,1.27 ,5,15,0,2,,0.92,1,
22,1089.67 ,up,6.50 ,5,24,0,2,,0.92,1,
23,1096.53 ,up,1.34 ,5,23,0,2,,0.92,1,
24,1098.17 ,up,11.03 ,5,33,0,1,,0.92,1,
25,1109.67 ,up,17.88 ,5,34,0,1,rs 3 times,0.92,1,
26,1156.63 ,up,4.60 ,5,25,0,1,,0.92,1,
27,1170.20 ,up,5.70 ,5,15,0,3,,0.92,1,
28,1185.40 ,up,4.73 ,5,14,0,1,,0.92,1,
29,2159.53 ,up,10.24 ,5,15,0,4,,0.92,1,
30,2170.63 ,up,92.64 ,5,25,0,2,ovp,0.92,1,1
31,2564.37 ,up,4.90 ,6,35,0,2,,0.9,1,
32,2569.63 ,up,7.57 ,6,45,0,1,,0.9,1,
33,2579.67 ,up,3.06 ,6,54,0,1,,0.9,1,
34,2583.02 ,up,1.55 ,6,53,0,1,,0.9,1,
35,2588.90 ,up,1.57 ,6,34,0,2,,0.9,1,
36,2591.33 ,up,2.64 ,6,35,0,3,,0.9,1,
37,2594.17 ,up,1.56 ,6,25,1,3,,0.9,0.5,
38,2595.93 ,up,6.14 ,6,15,0,5,,0.9,1,
39,2617.33 ,up,1.27 ,6,13,0,2,,0.9,1,
40,2619.70 ,up,3.03 ,6,12,0,1,,0.9,1,
41,2626.83 ,up,1.60 ,6,22,0,3,,0.9,1,
42,2628.93 ,up,31.34 ,6,32,0,2,ovp,0.9,1,0.958333333
43,2831.50 ,up,3.83 ,7,22,0,4,,0.88,1,
44,2835.53 ,up,5.24 ,7,12,0,2,,0.88,1,
45,2841.77 ,up,2.00 ,7,11,0,1,,0.88,1,
46,2844.13 ,up,4.70 ,7,21,0,2,,0.88,1,
47,2849.87 ,up,4.43 ,7,31,1,4,,0.88,0.5,
48,2854.93 ,up,2.04 ,7,41,1,2,,0.88,0.5,
49,2858.93 ,up,2.70 ,7,51,0,2,,0.88,1,
50,2861.97 ,up,5.73 ,7,52,1,3,,0.88,0.5,
