up series,time,behavior,bout length,egg series,bean no.,eggs on bean,bean visit no.,notes,patch value,bean quality,average encountered bean quality within every ovp bout
1,19,up,3,1,32,0,1,,1,1,
2,619.9,up,33.27,1,12,0,1,,1,1,
3,655.93,up,2.74,1,22,0,1,,1,1,
4,663.1,up,63.5,1,24,0,1,ovp,1,1,1
5,941.93,up,51.44,2,22,0,2,ovp,0.98,1,1
6,1183.67,up,42.13,3,32,0,2,ovp,0.96,1,1
7,1350.1,up,2.1,4,33,0,1,,0.94,1,
8,1355.13,up,4,4,24,1,2,,0.94,0.5,
9,1359.37,up,23.33,4,34,0,1,ovp,0.94,1,0.833333333
10,1546.3,up,1.43,5,33,0,2,,0.92,1,
11,1548.03,up,1.44,5,32,1,3,,0.92,0.5,
12,1550.67,up,1.86,5,31,0,1,,0.92,1,
13,1552.77,up,4.33,5,41,0,1,,0.92,1,
14,1557.43,up,6.87,5,51,0,1,,0.92,1,
15,1566.26,up,0.97,5,42,0,1,,0.92,1,
16,1567.33,up,1.1,5,43,0,1,,0.92,1,
17,1568.53,up,3.54,5,44,0,1,,0.92,1,
18,1572.57,up,1.33,5,34,1,2,,0.92,0.5,
19,1574.1,up,38.73,5,35,0,1,ovp,0.92,1,0.9
20,1751.93,up,0.94,6,34,1,3,,0.9,0.5,
21,1753.1,up,1.93,6,24,1,3,,0.9,0.5,
22,1755.13,up,0.9,6,23,0,1,,0.9,1,
23,1756.3,up,3.33,6,13,0,1,,0.9,1,
24,1759.8,up,2.87,6,12,0,2,,0.9,1,
25,1764.1,up,2.43,6,11,0,1,,0.9,1,
26,1766.7,up,2.73,6,21,0,1,,0.9,1,
27,1769.77,up,3.13,6,31,0,2,,0.9,1,
28,1773.1,up,1.8,6,32,1,4,,0.9,0.5,
29,1775.1,up,1.6,6,33,0,3,,0.9,1,
30,1776.97,up,2.06,6,34,1,4,,0.9,0.5,
31,1779.53,up,21.1,6,44,0,2,ovp,0.9,1,0.833333333
32,1896.9,up,1.97,7,43,0,2,,0.88,1,
33,1899.17,up,1.8,7,42,0,2,,0.88,1,
34,1901.5,up,5.87,7,52,0,1,,0.88,1,
35,1908.5,up,1.7,7,42,0,3,,0.88,1,
36,1911.83,up,1.3,7,31,0,3,,0.88,1,
37,1914.1,up,1.97,7,21,0,2,,0.88,1,
38,1916.4,up,18.67,7,12,0,3,ovp,0.88,1,1
39,2049.9,up,4.1,8,11,0,2,,0.86,1,
40,2054.57,up,1.56,8,12,1,4,,0.86,0.5,
41,2056.37,up,1.26,8,13,0,2,,0.86,1,
42,2057.83,up,1.57,8,14,0,1,,0.86,1,
43,2059.83,up,1.27,8,15,0,1,,0.86,1,
44,2061.57,up,1.43,8,25,0,1,,0.86,1,
45,2063.9,up,0.93,8,35,1,2,,0.86,0.5,
46,2065.47,up,1.56,8,44,1,3,,0.86,0.5,
47,2067.27,up,2.03,8,43,0,3,,0.86,1,
48,2069.5,up,3.97,8,42,0,4,,0.86,1,
49,2074.2,up,5.4,8,41,0,2,,0.86,1,
