up series,Time,behaviour,bout length,egg series,bean no.,eggs on bean,bean visit no.,notes,patch value,bean value,average encountered bean quality within every ovp bout
1,6.6,up,65.63,1,23,0,1,ovp,1,1,1
2,314.13,up,44.27,2,23,1,2,ovp,0.98,0.5,0.5
3,515.57,up,56.16,3,22,0,1,ovp,0.973333333,1,1
4,697.27,up,3,4,32,0,1,,0.953333333,1,
5,700.8,up,9.73,4,31,0,1,,0.953333333,1,
6,745.77,up,30.63,4,21,0,1,,0.953333333,1,
7,1605,up,83.4,4,35,0,1,,0.953333333,1,
8,1688.9,up,28.23,4,34,0,1,,0.953333333,1,
9,1717.37,up,4.06,4,44,0,1,,0.953333333,1,
10,1721.6,up,49.3,4,54,0,1,ovp,0.953333333,1,1
11,1860.53,up,3.2,5,44,0,2,,0.933333333,1,
12,1864.03,up,0.94,5,34,0,2,,0.933333333,1,
13,1867.47,up,32.66,5,35,0,2,ovp,0.933333333,1,1
14,2100.77,up,3.23,6,34,0,3,,0.913333333,1,
15,2108.53,up,43.27,6,14,0,1,ovp,0.913333333,1,1
16,2271.43,up,2.67,7,13,0,1,,0.893333333,1,
17,2274.47,up,12.06,7,12,0,1,,0.893333333,1,
18,2289.73,up,2.5,7,13,0,2,,0.893333333,1,
19,2293.67,up,1.56,7,14,1,2,,0.893333333,0.5,
20,2295.43,up,38.1,7,24,0,1,ovp,0.893333333,1,0.9
21,2694.47,up,14.33,8,34,0,4,,0.873333333,1,
22,2710.8,up,10.4,8,24,1,2,,0.873333333,0.5,
23,2721.63,up,34.04,8,34,0,5,like? or doesn't like?,0.873333333,1,
24,2756.6,up,11.4,8,35,1,3,,0.873333333,0.5,
25,2774.63,up,59.5,8,15,0,1,ovp,0.873333333,1,0.8
26,2989.1,up,3.9,9,24,1,3,,0.853333333,0.5,
27,2993.33,up,2.9,9,34,0,6,,0.853333333,1,
28,2996.6,up,2.7,9,44,0,3,,0.853333333,1,
29,2999.73,up,1.3,9,54,1,2,,0.853333333,0.5,
30,3002.23,up,62.2,9,55,0,1,ovp,0.853333333,1,0.8
31,3984.33,up,27.24,10,41,0,1,,0.833333333,1,
32,4012,up,4.77,10,31,0,2,,0.833333333,1,
33,4021.47,up,2.86,10,22,1,2,,0.833333333,0.5,
34,4024.93,up,1.94,10,12,0,2,,0.833333333,1,
35,4027.73,up,31.24,10,13,0,3,ovp,0.833333333,1,0.9
36,4229.73,up,7.44,11,12,0,3,,0.813333333,1,
37,4242.17,up,26.06,11,11,0,1,,0.813333333,1,
38,4271.4,up,5.33,11,22,1,3,,0.813333333,0.5,
39,4278.47,up,2.56,11,23,1,3,,0.813333333,0.5,
40,4286.7,up,41.4,11,43,0,1,ovp,0.813333333,1,0.8
41,4433.57,up,0.9,12,53,0,1,,0.793333333,1,
42,4435.33,up,12.5,12,52,0,1,,0.793333333,1,
43,4448.27,up,5.06,12,53,0,2,,0.793333333,1,
44,4453.67,up,11.13,12,43,1,2,,0.793333333,0.5,
45,4465.33,up,5.87,12,53,0,3,,0.793333333,1,
46,4472.4,up,13.57,12,52,0,2,,0.793333333,1,
47,4486.83,up,5.47,12,53,0,4,,0.793333333,1,
48,4493.17,up,20.13,12,43,1,3,ovp,0.793333333,0.5,0.875
49,4620.6,up,3.23,13,33,0,1,,0.786666667,1,
50,4626.47,up,10.43,13,23,1,4,clean ant.,0.786666667,0.5,
51,4651.03,up,18.27,13,31,0,3,,0.786666667,1,
52,4674.43,up,43.37,13,41,0,2,ovp,0.786666667,1,0.875
53,4818.17,up,3.76,14,51,0,1,,0.766666667,1,
54,4823.27,up,6.23,14,52,0,3,,0.766666667,1,
55,4830.4,up,8.27,14,53,0,5,,0.766666667,1,
