family_E,family_C,freq_ind,id0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
Psyllidae,木蝨科,111111,1,3,6,17,0,5,0,2,5,6,3,6,6,5,5,3,1,0,0,2,2,4,1,1,0
Cicadellidae,葉蟬科,111111,2,387,406,846,95,56,196,208,975,483,396,236,1119,384,441,298,556,264,326,198,136,27,95,397,127
Cixiidae,菱飛蝨科,011100,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0
Delphacidae,飛蝨科,111111,4,0,70,268,1,48,7,16,161,30,38,13,118,50,235,14,106,64,83,47,74,3,13,46,99
Aphididae,常蚜科,111111,5,11,1,83,9,0,1,0,13,70,31,4,14,2,1,14,59,49,15,1,2,5,31,50,3
Miridae,盲椿科,001111,6,0,0,0,3,0,0,0,0,4,4,10,1,0,0,2,27,2,0,0,0,0,12,10,0
Ichneumonidae,姬蜂科,111111,7,0,4,10,4,3,0,2,2,19,30,12,28,3,0,13,50,12,1,0,0,6,4,5,1
Braconidae,繭蜂科,001111,8,0,0,2,8,0,0,0,0,4,8,0,2,0,0,4,16,2,0,0,0,8,2,0,0
Diapriidae,錘角細蜂科,011111,9,0,1,2,4,2,0,0,0,20,7,4,9,0,0,10,22,4,0,0,0,14,3,5,1
Ceraphronidae,分盾細蜂科,111111,10,2,0,0,0,0,0,0,0,11,0,12,10,0,0,5,2,1,1,0,1,2,1,6,0
Platygastridae,廣腹細蜂科,001110,11,0,0,31,12,0,0,0,0,19,7,1,0,0,0,17,16,5,0,0,0,3,15,3,0
Mymaridae,細翅寄生小蜂科,111111,12,2,0,1,0,0,1,1,2,17,2,7,4,2,1,0,6,4,2,0,1,3,1,15,1
Pteromalidae,金小蜂科,111111,13,1,20,8,5,12,0,3,25,41,17,11,9,7,19,9,18,2,4,3,7,4,4,7,0
Eurytomidae,廣肩小蜂科,001110,14,0,0,8,11,1,0,0,0,5,27,0,0,0,0,1,44,2,0,0,0,1,12,1,0
Encyrtidae,跳小蜂科,111111,15,1,0,19,3,8,0,0,3,5,14,0,1,0,1,17,6,14,0,0,0,1,4,2,0
Eulophidae,釉小蜂科,111111,16,4,0,47,28,16,0,0,0,60,129,15,8,0,1,26,109,16,2,1,0,7,11,16,0
Torymidae,長尾小蜂科,001100,17,0,0,2,0,0,0,0,0,8,2,0,0,0,0,0,6,0,0,0,0,2,0,0,0
Formicidae,蟻科,011111,18,0,0,5,14,36,0,0,4,16,28,3,0,0,0,7,12,9,0,0,1,5,4,5,1
Dryinidae,螫蜂科,001110,19,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,5,0,0,0,1,0,1,0
Tipulidae,大蚊科,111110,20,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,3,0,0,0
Chironomidae,搖蚊科,111111,21,36,50,67,0,0,4,55,104,170,32,0,673,34,175,90,80,0,90,9,52,76,41,14,211
Mycetophilidae,蕈蚋科,011111,22,0,0,0,5,0,0,0,2,17,35,3,11,0,0,5,39,14,0,0,7,2,13,12,0
Sciaridae,黑翅蕈蚋科,011111,23,0,0,36,0,4,0,0,1,151,16,20,21,0,4,35,13,16,0,0,15,17,6,14,1
Simuliidae,蚋科,001110,24,0,0,2,0,0,0,0,0,2,0,0,0,0,0,5,7,0,0,0,0,0,0,27,0
Cecidomyiidae,癭蚋科,111111,25,1,0,1,0,0,0,0,0,7,4,0,7,5,1,3,30,1,0,0,0,2,15,2,1
