up series,time,behavior,bout length,egg series,bean no.,eggs on bean,bean visit no.,notes,patch value,bean quality,average encountered bean quality within every ovp bout
1,48.50 ,up,2.60 ,1,45,0,1,,1,1,
2,89.80 ,up,67.17 ,1,44,0,1,ovp,1,1,1
3,277.27 ,up,2.26 ,2,45,0,2,,0.98,1,
4,354.27 ,up,2.86 ,2,44,0,2,,0.98,1,
5,494.40 ,up,55.13 ,2,41,0,1,ovp,0.98,1,1
6,635.67 ,up,3.40 ,3,42,0,1,,0.96,1,
7,650.50 ,up,14.83 ,3,24,0,1,ovp,0.96,1,1
8,736.57 ,up,10.43 ,4,23,0,1,ovp,0.94,1,1
9,1299.57 ,up,32.86 ,5,15,0,1,ovp,0.92,1,1
9,1410.73 ,up-same,65.24 ,6,15,1,1,ovp,0.9,0.5,0.5
10,1599.43 ,up,2.00 ,7,45,0,3,,0.893333333,1,
11,1601.70 ,up,3.67 ,7,55,0,1,,0.893333333,1,
12,1605.57 ,up,2.03 ,7,45,0,4,,0.893333333,1,
13,1608.63 ,up,1.20 ,7,44,1,3,,0.893333333,0.5,
14,1611.57 ,up,0.60 ,7,33,0,1,,0.893333333,1,
15,1613.83 ,up,3.84 ,7,42,0,2,,0.893333333,1,
16,1619.73 ,up,17.20 ,7,31,0,1,ovp,0.893333333,1,0.928571429
17,1690.93 ,up,3.80 ,8,21,0,1,,0.873333333,1,
18,1695.03 ,up,4.97 ,8,11,0,1,,0.873333333,1,
19,1705.50 ,up,1.07 ,8,21,0,2,,0.873333333,1,
20,1707.07 ,up,14.13 ,8,11,0,2,ovp,0.873333333,1,1
21,1820.97 ,up,3.50 ,9,12,0,1,,0.853333333,1,
22,1850.53 ,up,1.30 ,9,21,0,3,,0.853333333,1,
23,1859.27 ,up,2.43 ,9,42,0,3,,0.853333333,1,
24,1864.33 ,up,3.97 ,9,43,0,1,,0.853333333,1,
25,1870.13 ,up,4.27 ,9,34,0,1,,0.853333333,1,
26,1902.27 ,up,17.96 ,9,34,0,2,ovp,0.853333333,1,1
27,1977.53 ,up,2.87 ,10,44,1,4,,0.833333333,0.5,
28,1993.20 ,up,2.73 ,10,25,0,1,,0.833333333,1,
29,2007.17 ,up,1.53 ,10,45,0,5,,0.833333333,1,
30,2008.90 ,up,3.07 ,10,55,0,2,,0.833333333,1,
31,2014.70 ,up,4.87 ,10,54,0,1,,0.833333333,1,
32,2021.07 ,up,8.02 ,10,53,0,1,ovp,0.833333333,1,0.916666667
33,2099.33 ,up,1.80 ,11,52,0,1,,0.813333333,1,
34,2108.80 ,up,1.93 ,11,21,0,4,,0.813333333,1,
35,2111.10 ,up,3.20 ,11,11,1,3,,0.813333333,0.5,
36,2115.63 ,up,1.54 ,11,12,0,2,,0.813333333,1,
37,2118.47 ,up,1.76 ,11,13,0,1,,0.813333333,1,
38,2121.47 ,up,1.70 ,11,14,0,1,,0.813333333,1,
39,2132.27 ,up,1.00 ,11,45,0,6,,0.813333333,1,
40,2133.40 ,up,2.53 ,11,55,0,3,,0.813333333,1,
41,2139.73 ,up,1.20 ,11,53,1,2,,0.813333333,0.5,
42,2143.80 ,up,60.83 ,11,51,0,1,ovp,0.813333333,1,0.9
43,2292.87 ,up,1.46 ,12,51,1,2,,0.793333333,0.5,
44,2316.03 ,up,3.77 ,12,22,0,1,,0.793333333,1,
45,2320.00 ,up,27.43 ,12,12,0,3,ovp,0.793333333,1,0.833333333
46,2442.00 ,up,3.63 ,13,13,0,2,,0.773333333,1,
47,2456.43 ,up,1.84 ,13,45,0,7,,0.773333333,1,
48,2517.97 ,up,2.70 ,13,25,0,2,,0.773333333,1,
49,2521.00 ,up,5.77 ,13,24,1,2,,0.773333333,0.5,
50,2541.10 ,up,2.40 ,13,22,0,2,,0.773333333,1,
51,2553.67 ,up,2.80 ,13,43,0,2,,0.773333333,1,
52,2559.80 ,up,20.33 ,13,52,0,2,ovp,0.773333333,1,0.928571429
53,2675.30 ,up,4.80 ,14,55,0,4,,0.753333333,1,
54,2684.00 ,up,1.73 ,14,45,0,8,,0.753333333,1,
55,2686.57 ,up,2.00 ,14,35,0,1,,0.753333333,1,
56,2688.97 ,up,1.56 ,14,25,0,3,,0.753333333,1,
57,2690.73 ,up,3.07 ,14,15,2,2,,0.753333333,0.333333333,
58,2698.63 ,up,1.94 ,14,14,0,2,,0.753333333,1,
59,2702.40 ,up,1.53 ,14,13,0,3,,0.753333333,1,
60,2705.00 ,up,3.23 ,14,12,1,4,,0.753333333,0.5,
61,2710.43 ,up,2.77 ,14,21,0,5,,0.753333333,1,
62,2771.57 ,up,2.56 ,14,21,0,6,,0.753333333,1,
63,2813.90 ,up,27.97 ,14,55,0,5,ovp,0.753333333,1,0.893939394
64,2966.07 ,up,2.60 ,15,55,1,6,,0.733333333,0.5,
65,2970.27 ,up,2.56 ,15,54,0,2,,0.733333333,1,
66,2974.10 ,up,2.10 ,15,53,1,3,,0.733333333,0.5,
67,3021.77 ,up,22.73 ,15,43,0,3,ovp,0.733333333,1,0.75
68,3217.07 ,up,6.03 ,16,15,2,3,,0.713333333,0.333333333,
69,3225.60 ,up,27.30 ,16,14,0,3,ovp,0.713333333,1,0.666666667
70,3357.40 ,up,1.47 ,17,34,1,3,,0.693333333,0.5,
71,3359.17 ,up,1.16 ,17,44,1,5,,0.693333333,0.5,
72,3397.10 ,up,4.93 ,17,51,1,3,,0.693333333,0.5,
73,3426.10 ,up,24.47 ,17,45,0,9,ovp,0.693333333,1,0.625
74,3646.83 ,up,4.14 ,18,35,0,2,,0.673333333,1,
75,3655.87 ,up,4.63 ,18,34,1,4,,0.673333333,0.5,
76,3715.03 ,up,29.77 ,18,35,0,3,ovp,0.673333333,1,0.833333333
77,3936.87 ,up,2.90 ,19,25,0,4,,0.653333333,1,
78,3940.23 ,up,3.87 ,19,35,1,4,,0.653333333,0.5,
79,3945.97 ,up,4.20 ,19,45,1,10,,0.653333333,0.5,
80,3950.60 ,up,5.10 ,19,55,1,7,,0.653333333,0.5,
81,3973.20 ,up,11.43 ,19,52,1,3,,0.653333333,0.5,
82,3985.70 ,up,42.67 ,19,42,0,4,ovp,0.653333333,1,0.666666667
83,6291.83 ,up,3.34 ,20,34,1,5,,0.633333333,0.5,
84,6300.57 ,up,2.26 ,20,24,1,3,,0.633333333,0.5,
85,6303.17 ,up,6.30 ,20,14,1,4,,0.633333333,0.5,
86,6318.00 ,up,5.57 ,20,14,1,5,,0.633333333,0.5,
87,6333.00 ,up,9.67 ,20,33,0,2,,0.633333333,1,
88,6346.43 ,up,36.14 ,20,22,0,3,ovp,0.633333333,1,0.666666667
89,6493.80 ,up,2.43 ,end,13,0,4,,0.613333333,1,
90,6500.00 ,up,3.73 ,end,14,1,6,,0.613333333,0.5,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
