up series,Time ,behavior,bout length,egg series,bean no.,eggs on bean,bean visit no.,notes,patch value,bean quality,average encountered bean quality within every ovp bout
1,21.73 ,up,2.20 ,1,32,0,1,,1,1,
2,679.20 ,up,0.80 ,1,24,0,1,,1,1,
3,681.80 ,up,2.57 ,1,14,0,1,,1,1,
4,684.63 ,up,3.90 ,1,13,0,1,,1,1,
5,701.87 ,up,2.40 ,1,15,0,1,,1,1,
6,709.40 ,up,1.73 ,1,44,0,1,,1,1,
7,715.17 ,up,5.86 ,1,53,0,1,,1,1,
8,725.70 ,up,6.07 ,1,53,0,2,,1,1,
9,736.97 ,up,2.50 ,1,42,0,1,,1,1,
10,739.87 ,up,4.13 ,1,32,0,2,,1,1,
11,745.30 ,up,58.67 ,1,22,0,1,,1,1,
12,892.30 ,up,59.37 ,1,13,0,2,ovp,1,1,1
12,1057.77 ,up-same,37.10 ,2,13,1,2,ovp,0.98,0.5,1
13,1216.80 ,up,2.27 ,3,14,0,2,,0.973333333,1,
14,1220.40 ,up,2.70 ,3,15,0,2,,0.973333333,1,
15,1224.87 ,up,2.03 ,3,24,0,2,,0.973333333,1,
16,1226.97 ,up,3.10 ,3,23,0,1,,0.973333333,1,
17,1231.83 ,up,5.00 ,3,22,0,2,,0.973333333,1,
18,1242.50 ,up,13.00 ,3,12,0,1,ovp,0.973333333,1,1
19,1338.07 ,up,1.10 ,4,22,0,3,,0.953333333,1,
20,1339.40 ,up,1.77 ,4,21,0,1,,0.953333333,1,
21,1342.40 ,up,20.97 ,4,31,0,1,ovp,0.953333333,1,1
22,1443.60 ,up,1.73 ,5,32,0,3,,0.933333333,1,
23,1446.30 ,up,3.27 ,5,42,0,2,,0.933333333,1,
24,1451.83 ,up,1.74 ,5,51,0,1,,0.933333333,1,
25,1453.73 ,up,4.44 ,5,52,0,1,,0.933333333,1,
26,1458.53 ,up,3.64 ,5,53,0,3,,0.933333333,1,
27,1462.50 ,up,2.73 ,5,54,0,1,,0.933333333,1,
28,1468.57 ,up,17.46 ,5,45,0,1,ovp,0.933333333,1,1
29,1551.67 ,up,1.73 ,6,55,0,1,,0.913333333,1,
30,1553.57 ,up,3.46 ,6,54,0,2,,0.913333333,1,
31,1557.30 ,up,7.20 ,6,55,0,2,,0.913333333,1,
32,1570.83 ,up,27.34 ,6,34,0,1,ovp,0.913333333,1,1
33,1650.13 ,up,2.30 ,7,43,0,1,,0.893333333,1,
34,1654.20 ,up,5.30 ,7,32,0,4,,0.893333333,1,
35,1664.23 ,up,23.80 ,7,43,0,2,ovp,0.893333333,1,1
36,1760.00 ,up,1.70 ,8,44,0,2,,0.873333333,1,
