 ,time,behavior,bout length,egg series,bean no.,eggs on bean,bean visit no.,notes,patch value,bean quality,average encountered bean quality within every ovp bout
1,31.30 ,up,76.40 ,1,53,0,1,ovp,1,1,1
2,184.47 ,up,10.76 ,2,54,0,1,,0.98,1,
3,195.50 ,up,5.33 ,2,55,0,1,,0.98,1,
4,203.33 ,up,36.34 ,2,45,0,1,ovp,0.98,1,1
5,329.77 ,up,37.33 ,3,44,0,1,ovp,0.96,1,1
6,412.50 ,up,1.13 ,4,34,0,1,,0.94,1,
7,414.07 ,up,13.80 ,4,33,0,1,ovp,0.94,1,1
8,479.23 ,up,1.94 ,5,32,0,1,,0.92,1,
9,481.50 ,up,1.50 ,5,31,0,1,,0.92,1,
10,484.03 ,up,2.17 ,5,41,0,1,,0.92,1,
11,488.00 ,up,6.37 ,5,52,0,1,,0.92,1,
12,494.67 ,up,1.50 ,5,53,1,2,,0.92,0.5,
13,496.30 ,up,1.50 ,5,54,0,2,,0.92,1,
14,498.03 ,up,3.02 ,5,55,0,2,,0.92,1,
15,512.27 ,up,22.03 ,5,45,1,2,,0.92,0.5,
16,534.43 ,up,4.40 ,5,55,0,3,,0.92,1,
17,701.90 ,up,38.77 ,5,55,0,4,,0.92,1,
18,748.20 ,up,1.00 ,5,55,0,5,,0.92,1,
19,749.57 ,up,52.13 ,5,45,1,3,ovp,0.92,0.5,0.875
20,852.87 ,up,42.06 ,6,43,0,1,ovp,0.913333333,1,1
21,958.63 ,up,62.10 ,7,33,1,2,ovp,0.893333333,0.5,0.5
22,1067.43 ,up,27.97 ,8,32,0,2,ovp,0.886666667,1,1
23,1148.63 ,up,2.60 ,9,22,0,1,,0.866666667,1,
24,1151.83 ,up,5.74 ,9,21,0,1,,0.866666667,1,
25,1160.50 ,up,2.80 ,9,12,0,1,,0.866666667,1,
26,1163.50 ,up,2.90 ,9,13,0,1,,0.866666667,1,
27,1166.63 ,up,2.57 ,9,14,0,1,,0.866666667,1,
28,1169.53 ,up,2.60 ,9,15,0,1,,0.866666667,1,
29,1172.50 ,up,20.53 ,9,25,0,1,ovp,0.866666667,1,1
30,1228.67 ,up,2.76 ,10,35,0,1,,0.846666667,1,
31,1231.93 ,up,2.54 ,10,45,2,4,,0.846666667,0.166666667,
32,1234.70 ,up,0.77 ,10,55,0,6,,0.846666667,1,
33,1235.63 ,up,2.37 ,10,54,0,3,,0.846666667,1,
34,1238.17 ,up,3.46 ,10,53,1,3,,0.846666667,0.5,
35,1243.40 ,up,3.17 ,10,43,1,2,,0.846666667,0.5,
36,1249.43 ,up,2.94 ,10,32,1,3,,0.846666667,0.5,
37,1252.53 ,up,3.24 ,10,31,0,2,,0.846666667,1,
38,1258.17 ,up,27.30 ,10,21,0,2,ovp,0.846666667,1,0.740740741
39,1350.90 ,up,9.17 ,11,22,0,2,slow moving,0.826666667,1,
40,1360.60 ,up,3.57 ,11,23,0,1,,0.826666667,1,
41,1364.53 ,up,5.97 ,11,24,0,1,,0.826666667,1,
42,1374.20 ,up,3.87 ,11,34,0,2,,0.826666667,1,
43,1378.30 ,up,5.50 ,11,33,2,3,slow moving,0.826666667,0.166666667,
44,1385.77 ,up,4.60 ,11,32,1,4,,0.826666667,0.5,
45,1390.67 ,up,42.20 ,11,31,0,3,examing,0.826666667,1,
46,1433.17 ,up,1.96 ,11,41,0,2,,0.826666667,1,
47,1436.37 ,up,3.96 ,11,51,0,1,,0.826666667,1,
48,1453.50 ,up,1.60 ,11,53,1,4,,0.826666667,0.5,
49,1457.43 ,up,9.47 ,11,42,0,1,ovp,0.826666667,1,0.833333333
50,1538.53 ,up,2.17 ,12,32,1,5,,0.806666667,0.5,
51,1543.87 ,up,9.60 ,12,22,0,3,,0.806666667,1,
52,1555.37 ,up,1.86 ,12,21,1,3,,0.806666667,0.5,
53,1557.80 ,up,21.93 ,12,11,0,1,ovp,0.806666667,1,0.75
54,1649.53 ,up,2.47 ,13,22,0,4,,0.786666667,1,
55,1652.30 ,up,2.20 ,13,23,0,2,,0.786666667,1,
56,1654.73 ,up,2.20 ,13,24,0,2,,0.786666667,1,
57,1657.27 ,up,2.23 ,13,34,0,3,,0.786666667,1,
58,1659.90 ,up,15.57 ,13,35,0,2,try to ant. the wall and then direct to next bean ,0.786666667,1,
59,1675.77 ,up,2.56 ,13,45,2,5,,0.786666667,0.166666667,
60,1678.53 ,up,1.17 ,13,55,0,7,,0.786666667,1,
61,1680.03 ,up,1.17 ,13,54,0,4,,0.786666667,1,
62,1681.20 ,up,4.63 ,13,53,1,5,,0.786666667,0.5,
63,1686.07 ,up,30.60 ,13,52,0,2,ovp,0.786666667,1,0.866666667
64,1759.60 ,up,4.27 ,14,51,0,2,ant. to the wall,0.766666667,1,
65,1779.77 ,up,5.46 ,14,41,0,3,,0.766666667,1,
66,1785.83 ,up,2.90 ,14,42,1,2,,0.766666667,0.5,
67,1789.03 ,up,2.37 ,14,43,1,3,,0.766666667,0.5,
68,1791.67 ,up,1.36 ,14,44,1,2,,0.766666667,0.5,
69,1793.33 ,up,72.84 ,14,34,0,4,try many position but give up,0.766666667,1,
70,1866.37 ,up,13.80 ,14,24,0,3,ovp,0.766666667,1,0.785714286
71,1923.47 ,up,3.46 ,15,23,0,3,,0.746666667,1,
72,1929.87 ,up,4.46 ,15,12,0,2,,0.746666667,1,
73,1934.53 ,up,5.40 ,15,11,1,2,,0.746666667,0.5,
74,1940.37 ,up,8.60 ,15,21,1,4,check egg,0.746666667,0.5,
75,1950.33 ,up,3.47 ,15,31,0,4,,0.746666667,1,
76,1954.37 ,up,25.80 ,15,41,0,4,ovp,0.746666667,1,0.833333333
77,2068.40 ,up,1.73 ,16,42,1,3,,0.726666667,0.5,
78,2070.50 ,up,1.53 ,16,52,1,3,,0.726666667,0.5,
79,2072.20 ,up,4.93 ,16,51,0,3,ant to the wall,0.726666667,1,
80,2169.43 ,up,3.94 ,16,53,1,6,,0.726666667,0.5,
81,2173.57 ,up,6.23 ,16,54,0,5,,0.726666667,1,
82,2180.03 ,up,11.00 ,16,55,0,8,,0.726666667,1,
83,2195.83 ,up,3.47 ,16,34,0,5,,0.726666667,1,
84,2199.57 ,up,0.73 ,16,33,2,4,,0.726666667,0.166666667,
85,2202.60 ,up,57.13 ,16,23,0,4,ovp,0.726666667,1,0.740740741
86,2308.63 ,up,2.94 ,End,13,0,2,,0.706666667,1,
87,2311.90 ,up,2.23 ,End,12,0,3,,0.706666667,1,
88,2314.33 ,up,12.77 ,End,11,1,3,check egg,0.706666667,0.5,
89,2517.67 ,up,5.06 ,End,15,0,2,,0.706666667,1,
90,2523.00 ,up,3.80 ,End,14,0,2,,0.706666667,1,
91,2536.27 ,up,6.93 ,End,23,1,5,,0.706666667,0.5,
92,2543.37 ,up,7.76 ,End,24,1,4,,0.706666667,0.5,
93,2551.40 ,up,4.37 ,End,23,1,5,,0.706666667,0.5,
94,2556.07 ,up,4.33 ,End,22,0,5,,0.706666667,1,
95,2561.07 ,up,15.43 ,End,21,1,5,,0.706666667,0.5,
