up series,Time ,behavior,bout length,egg series,bean no.,eggs on bean,bean visit no.,notes,patch value,bean quality,average encountered bean quality within every ovp bout,
1,0.00 ,up,44.30 ,1,44,0,1,ovp,1,1,1,
2,166.73 ,up,2.34 ,2,54,0,1,,0.98,1,,
3,169.37 ,up,17.86 ,2,53,0,1,ovp,0.98,1,1,
4,261.40 ,up,22.00 ,3,54,0,2,ovp,0.96,1,1,
5,376.73 ,up,2.37 ,4,55,0,1,,0.94,1,,
6,398.60 ,up,2.07 ,4,55,0,2,,0.94,1,,
7,401.06 ,up,0.97 ,4,54,1,3,,0.94,0.5,,
8,402.67 ,up,0.60 ,4,44,1,2,,0.94,0.5,,
9,403.67 ,up,1.06 ,4,43,0,1,,0.94,1,,
10,405.13 ,up,17.44 ,4,33,0,1,ovp,0.94,1,0.833333333,
11,473.50 ,up,3.23 ,5,34,0,1,,0.92,1,,
12,476.97 ,up,8.93 ,5,35,0,1,,0.92,1,,
13,486.77 ,up,1.63 ,5,45,0,1,,0.92,1,,
14,488.60 ,up,3.17 ,5,44,1,3,,0.92,0.5,,
15,494.17 ,up,12.40 ,5,34,0,2,ovp,0.92,1,0.9,
16,566.33 ,up,2.10 ,6,35,0,2,,0.9,1,,
17,568.87 ,up,2.66 ,6,25,0,1,,0.9,1,,
18,574.37 ,up,2.36 ,6,14,0,1,,0.9,1,,
19,578.23 ,up,2.10 ,6,13,0,1,,0.9,1,,
20,580.53 ,up,0.67 ,6,12,0,1,,0.9,1,,
21,581.50 ,up,9.90 ,6,22,0,1,,0.9,1,,
22,594.50 ,up,0.97 ,6,12,0,2,,0.9,1,,
23,595.60 ,up,3.30 ,6,11,0,1,,0.9,1,,
24,599.13 ,up,2.74 ,6,21,0,1,,0.9,1,,
25,606.56 ,up,9.41 ,6,31,0,1,,0.9,1,,
26,618.20 ,up,2.27 ,6,41,0,1,,0.9,1,,
27,622.70 ,up,1.27 ,6,51,0,1,,0.9,1,,
28,624.17 ,up,4.16 ,6,52,0,1,,0.9,1,,
29,716.40 ,up,2.27 ,6,55,0,3,,0.9,1,,
30,720.23 ,up,1.97 ,6,45,0,2,,0.9,1,,
31,723.10 ,up,2.03 ,6,35,0,3,,0.9,1,,
32,725.77 ,up,42.06 ,6,45,0,3,ovp,0.9,1,1,
33,837.27 ,up,1.36 ,7,35,0,4,,0.88,1,,
34,838.80 ,up,1.70 ,7,25,0,2,,0.88,1,,
35,848.73 ,up,3.70 ,7,13,0,2,,0.88,1,,
36,852.93 ,up,1.90 ,7,14,0,2,,0.88,1,,
37,855.03 ,up,1.20 ,7,15,0,1,,0.88,1,,
38,856.53 ,up,2.00 ,7,25,0,3,,0.88,1,,
39,862.27 ,up,4.86 ,7,35,0,5,,0.88,1,,
40,867.30 ,up,13.80 ,7,25,0,4,ovp,0.88,1,1,
41,951.97 ,up,2.40 ,8,35,0,6,,0.86,1,,
42,954.60 ,up,2.17 ,8,45,1,4,,0.86,0.5,,
43,958.37 ,up,8.83 ,8,54,1,4,,0.86,0.5,,
44,987.87 ,up,1.56 ,8,54,1,5,,0.86,0.5,,
45,989.63 ,up,15.57 ,8,55,0,4,ovp,0.86,1,0.7,
46,1054.70 ,up,2.07 ,9,54,1,6,,0.84,0.5,,
47,1083.20 ,up,1.60 ,9,52,0,2,,0.84,1,,
48,1085.00 ,up,3.17 ,9,51,0,2,,0.84,1,,
49,1088.83 ,up,1.97 ,9,41,0,2,,0.84,1,,
50,1092.20 ,up,4.43 ,9,31,0,2,,0.84,1,,
51,1102.33 ,up,1.20 ,9,42,0,1,,0.84,1,,
52,1103.73 ,up,1.54 ,9,43,0,2,,0.84,1,,
53,1105.40 ,up,0.97 ,9,44,1,4,,0.84,0.5,,
54,1106.57 ,up,1.43 ,9,45,1,5,,0.84,0.5,,
55,1109.47 ,up,1.23 ,9,54,1,7,,0.84,0.5,,
56,1155.97 ,up,2.16 ,9,31,0,3,,0.84,1,,
57,1161.00 ,up,1.23 ,9,21,0,2,,0.84,1,,
58,1934.70 ,up,3.90 ,9,13,0,3,,0.84,1,,
59,1940.40 ,up,3.97 ,9,24,0,1,,0.84,1,,
60,1944.63 ,up,5.14 ,9,25,1,5,,0.84,0.5,,
61,1951.07 ,up,4.56 ,9,14,0,3,,0.84,1,,
62,1955.97 ,up,3.36 ,9,15,0,2,,0.84,1,,
63,1961.20 ,up,1.83 ,9,24,0,2,,0.84,1,,
64,1964.70 ,up,8.07 ,9,13,0,4,,0.84,1,,
65,1974.63 ,up,5.40 ,9,24,0,3,,0.84,1,,
66,1981.60 ,up,3.83 ,9,13,0,5,,0.84,1,,
67,1990.10 ,up,12.83 ,9,25,1,6,,0.84,0.5,,
68,2003.43 ,up,10.60 ,9,35,0,7,,0.84,1,,
69,2014.57 ,up,3.46 ,9,25,1,7,,0.84,0.5,,
70,2018.50 ,up,3.83 ,9,15,0,3,doesn't like 15 ?,0.84,1,,
71,2039.47 ,up,2.76 ,9,15,0,4,doesn't like 15 ?,0.84,1,,
72,2259.33 ,up,6.34 ,9,13,0,6,,0.84,1,,
73,2266.63 ,up,15.57 ,9,14,0,4,,0.84,1,,
74,2282.50 ,up,25.93 ,9,13,0,7,ovp,0.84,1,0.879310345,
75,2402.07 ,up,3.10 ,10,12,0,3,,0.82,1,,
76,2405.67 ,up,2.40 ,10,11,0,2,,0.82,1,,
77,2574.20 ,up,3.80 ,10,31,0,4,,0.82,1,,
78,2579.03 ,up,32.34 ,10,32,0,1,ovp,0.82,1,1,
79,2667.63 ,up,2.90 ,11,22,0,2,,0.8,1,,
80,2670.80 ,up,5.03 ,11,23,0,1,,0.8,1,,
81,2676.10 ,up,5.67 ,11,24,0,4,,0.8,1,,
82,2684.40 ,up,1.37 ,11,33,1,2,,0.8,0.5,,
83,2686.00 ,up,7.30 ,11,32,1,2,,0.8,0.5,,
84,2693.53 ,up,4.07 ,11,33,1,3,,0.8,0.5,,
85,2697.77 ,up,2.06 ,11,34,1,3,,0.8,0.5,,
86,2700.90 ,up,2.13 ,11,35,0,8,,0.8,1,,
87,2968.77 ,up,2.00 ,11,11,0,3,,0.8,1,,
88,2971.90 ,up,10.00 ,11,21,0,3,,0.8,1,,
89,2983.70 ,up,22.20 ,11,22,0,3,,0.8,1,,
90,3006.03 ,up,38.97 ,11,21,0,4,ovp,0.8,1,0.833333333,
91,3143.93 ,up,2.40 ,12,22,0,4,,0.78,1,,
92,3147.57 ,up,21.60 ,12,12,0,4,,0.78,1,,
93,3171.07 ,up,3.13 ,12,23,0,2,,0.78,1,,
94,3175.70 ,up,2.30 ,12,34,1,4,,0.78,0.5,,
95,3179.50 ,up,2.73 ,12,43,0,3,,0.78,1,,
96,3182.43 ,up,4.50 ,12,42,0,2,,0.78,1,,
97,3187.23 ,up,9.17 ,12,41,0,3,ovp,0.78,1,0.928571429,
98,3269.73 ,up,4.90 ,13,42,0,3,,0.76,1,,
99,3274.90 ,up,3.03 ,13,41,1,4,,0.76,0.5,,
100,3278.23 ,up,2.54 ,13,31,0,5,,0.76,1,,
101,3281.90 ,up,1.57 ,13,21,1,5,,0.76,0.5,,
102,3283.87 ,up,2.83 ,13,11,0,4,,0.76,1,,
103,3286.93 ,up,1.70 ,13,12,0,5,,0.76,1,,
104,3289.00 ,up,1.43 ,13,13,1,8,,0.76,0.5,,
105,3292.07 ,up,2.13 ,13,24,0,5,,0.76,1,,
106,3294.53 ,up,2.64 ,13,25,1,8,,0.76,0.5,,
107,3297.43 ,up,6.90 ,13,35,0,9,,0.76,1,,
108,3306.13 ,up,8.97 ,13,34,1,5,,0.76,0.5,,
109,3316.83 ,up,4.24 ,13,45,1,6,,0.76,0.5,,
110,3321.20 ,up,1.70 ,13,44,1,5,,0.76,0.5,,
